Coptic	Greek		Approx.	Hebrew	Value		Common	Maghreb
Ⲁ	Α		ʔ	א	1		أ	
Ⲃ	Β		b	ב	2		ب	
Ⲅ	Γ		ɡ	ג	3		ج	
Ⲇ	Δ		d	ד	4		د	
Ⲉ	Ε		h	ה	5		ہ	
Ⲋ	Ϝ, Ϛ		w	ו	6		و	
Ⲍ	Ζ		z	ז	7		ز	
Ⲏ	Η		ħ	ח	8		ح	
Ⲑ	Θ		tˤ	ט	9		ط	
Ⲓ	Ι		j	י	10		ي	
Ⲕ	Κ		k	כ	20		ك	
Ⲗ	Λ		l	ל	30		ل	
Ⲙ	Μ	<=	m	מ	40	=>	م	
Ⲛ	Ν		n	נ	50		ن	
Ⲝ	Ξ		s	ס	60		س	ص
Ⲟ	Ο		ʕ	ע	70		ع	
Ⲡ	Π		p	פ	80		ف	
Ϥ	Ϻ, Ϙ -> Ϥ		sˤ / ts	צ	90		ص	ض
Ⲣ	Ρ		q	ק	100		ق	
Ⲥ	Σ		r	ר	200		ر	
Ⲧ	Τ		ʃ	ש	300		ش	س
Ⲩ	Υ		t	ת	400		ت	
Ⲫ	Φ		-	תק	500		ث	
Ⲭ	Χ		-	תר	600		خ	
Ⲯ	Ψ		-	תש	700		ذ	
Ⲱ	Ω		-	תת	800		ض	ظ
Ⳁ	M -> ϡ		-	תתק	900		ظ	غ
ⲁ̿	,Α		-	א׳	1000		غ	ش
