						
		Forms	Absolute	Prenominal	Pre- pronominal	Qualitative
		Explanation, Examples	[verb] + [preposition] 	[verb] + [object noun]	[verb] + [suffix]	aka "stative", describes the condition of the verb having happened
		Example	ⲁϥⲥⲱⲧⲙ ⲉ-ⲟⲩ-ⲣⲱⲙⲉ	ⲥⲉⲧⲙ-ⲡⲣⲱⲙⲉ	ⲥⲟⲧⲙ=ϥ	"he is heard"(?)
						
ⲱ	cⲱcec	to hear	ⲥⲱⲧⲙ	ⲥⲉⲧⲙ-	ⲥⲟⲧⲙ=	
		to choose, select	ⲥⲱⲧⲡ	ⲥⲉⲧⲡ-	ⲥⲟⲧⲡ=	ⲥⲟⲧⲡ
		to kill	ⲙⲟⲩⲟⲩⲧ	ⲙⲉⲩⲧ-	ⲙⲟⲟⲩⲧ=	
		to save, rescue	ⲛⲟⲩϩⲙ	ⲛⲉϩⲙ-	ⲛⲁϩⲙ=	ⲛⲁϩⲙ
		to bend, bow	ⲡⲱϩⲧ	ⲡⲉϩⲧ-	ⲡⲁϩⲧ=	ⲡⲁϩⲧ
		to stop, hinder	ⲥⲱϣⲧ	ⲥⲉϣⲧ-	ⲥⲟϣⲧ=	ⲥⲁϣⲧ
		to call/summon, chase	ⲧⲱϩⲙ	ⲧⲉϩⲙ-	ⲧⲁϩⲙ=	ⲧⲁϩⲙ
		to make/become broad	ⲟⲩⲱϣⲥ	ⲟⲩⲉϣⲥ-	ⲟⲩⲟϣⲥ=	ⲟⲩⲟϣⲥ
		to repeat	ⲟⲩⲱϩⲙ	ⲟⲩⲉϩⲙ-	ⲟⲩⲁϩⲙ=	ⲟⲩⲟϩⲙ
	cⲱc	to go	ⲃⲱⲕ			ⲃⲏⲕ
		to build	ⲕⲱⲧ	ⲕⲉⲧ-	ⲕⲟⲧ=	ⲕⲏⲧ
		to run, flee	ⲡⲱⲧ			ⲡⲏⲧ
		to open	ⲟⲩⲱⲛ	ⲟⲩⲛ-		ⲟⲩⲏⲛ
		to receive	ϣⲱⲡ	ϣⲉⲡ-	ϣⲟⲡ=	ϣⲏⲡ
		to command	ϩⲱⲛ			ϩⲏⲛ
		to hide	ϩⲱⲡ	ϩⲉⲡ-	ϩⲟⲡ=	ϩⲏⲡ
